station,count
3S Center Bagbaguin,17000
3S Center Paso De Blas,17000
3S Center Ugong,17000
Along Shaw Blvd.,17000
Aurora Boulevard (Tramo) - Andrews Avenue,17000
Barangay Fortune - Santan Street,17000
Barangay San Antonio - Parañaque-Sucat Road (Shopwise),17000
Barangay San Rafael Hall,17000
Barangay Tambo - Quirino Avenue,17000
Barangay Tanza 2 Hall,17000
Barangay Tunasan - Maharlika Highway (SM Center Muntinlupa),17000
Bataan Tourism Park,17000
"Bo. Luz Barangay Hall, Limay",17000
Bradco Ave. cor Macapagal,17000
C3 Road (5th Avenue) - Rizal Avenue Extension,17000
Caloocan Sports Complex,17000
Demo Unit 2,17000
J.P. Rizal Avenue corner Camia,17000
J.P. Rizal Avenue corner Pertierra,17000
Kalayaan Avenue  - South Avenue Intersection,17000
"Lamao, Limay",17000
Makati Avenue  - Antonio Arnaiz Avenue Intersection,17000
Makati Avenue - Buendia Avenue Intersection,17000
Malabon Action Center,17000
Mandaluyong City,17000
Mandaluyong Elementary School,17000
Manila,17000
Marikina Sports Complex,17000
"Monumento, Caloocan",17000
NASA GSFC Rutgers Calib. N12,17000
"Near Katipunan Ave., Quezon City",17000
Near Sucat Interchange/Exit,17000
Old Wack Wack Road corner Shaw Boulevard,17000
Ortigas Avenue-Roosevelt Intersection,17000
Pateros Bridge,17000
Samal Municipal Hall,17000
San Juan Mini Park,17000
Santa Clara - Pasay City General Hospital,17000
Sto. Rosario Bridge,17000
Unnamed (DNVBA1576 → AL739RG7),17000
"Iloilo City, Augustine Grove Subd.",16228
Barangay Buli - Concepcion Street,16000
Ortigas,16000
"Quezon Rd, San Simon",15992
MNHS AQ Station,15959
Central Philippine University,15548
World Trade Center,15000
"Brgy. Benedicto, Jaro, Iloilo",14047
Anda Circle,13239
Sta. Ana Hospital,13154
San Sebastian Residences,13094
Near Puregold Tayuman,12984
Valenzuela CENRO (ARCA North),12000
Gen. Luna St. corner Gov. Pascual Ave.,11995
Rajah Sulayman Park,10909
Manila Observatory,10908
Pasay-Taft,10901
Brgy. Infante,10579
Demo Unit 1,9629
Boni Serrano,9229
ASMPH,9000
Brgy. Ambassador,8824
Ayala Ave.,8147
Demo Unit 4,7032
Las Pinas,6264
Illumina,6152
STRC,6050
Valenzuela,5941
North Caloocan Nova Romania - Alora (download airgradient mobile app for realtime data),5009
President Roxas,2766
Tivoli,2765
Tagaytay (Neogan),2532
Pinya Farm,2397
Binangonan,2355
Valle1,2059
Mariveles Municipal Hall,1091
Tagaytay (Neogan 2),874
Pasay Rotonda,820
"South Triangle, Quezon City",712
Lapu-Lapu City,696
"Daet, Camarines Norte (Roadside)",499
Mall of Asia Sensor,432
Bacolod City Araneta-Hernaez Sts,374
"Brgy. East Timawa, Molo",204
Ayala MRT,144
pasay city,121
Ramon Avancena High School,120
Bacolod City San Juan-Gonzaga Sts,107
ADB Courtyard (Demo),96
Robinson's Equitable Tower (Indoor),70
"San Antonio, Los Banos, Laguna (Residential)",70
DLSU Laguna,26
Sensor 1,13
313_Cubao,8
DENR Compound Parola,3
Marikina,2
Timoteo Paez Integrated High School,1
